State,County,Income
Georgia,Dodge,"37,790"
Georgia,Dooly,"44,318"
Georgia,Dougherty,"46,317"
Georgia,Douglas,"43,855"
Georgia,Early,"43,753"
Georgia,Echols,"34,042"
Georgia,Effingham,"48,134"
Georgia,Elbert,"41,816"
Georgia,Emanuel,"39,913"
Georgia,Evans,"40,397"
Georgia,Fannin,"48,239"
Georgia,Fayette,"72,745"
Georgia,Floyd,"44,304"
Georgia,Forsyth,"74,888"
Georgia,Franklin,"40,700"
Georgia,Fulton,"101,688"
Georgia,Gilmer,"43,216"
Georgia,Glascock,"40,287"
Georgia,Glynn,"58,513"
Georgia,Gordon,"42,973"
Georgia,Grady,"39,012"
Georgia,Greene,"74,348"
Georgia,Gwinnett,"50,121"
Georgia,Habersham,"39,411"
Georgia,Hall,"55,175"
Georgia,Hancock,"34,989"
Georgia,Haralson,"44,439"
Georgia,Harris,"57,086"
Georgia,Hart,"44,058"
Georgia,Heard,"40,731"
Georgia,Henry,"46,657"
Georgia,Houston,"49,215"
Georgia,Irwin,"42,407"
Georgia,Jackson,"51,967"
Georgia,Jasper,"46,114"
Georgia,Jeff Davis,"37,473"
Georgia,Jefferson,"42,752"
Georgia,Jenkins,"37,132"
Georgia,Johnson,"34,010"
Georgia,Jones,"44,451"
Georgia,Lamar,"43,371"
Georgia,Lanier,"35,444"
Georgia,Laurens,"43,821"
Georgia,Lee,"51,314"
Georgia,Liberty,"40,692"
Georgia,Lincoln,"47,353"
Georgia,Long,"40,090"
Georgia,Lowndes,"44,477"
Georgia,Lumpkin,"47,783"
Georgia,McDuffie,"43,733"
Georgia,McIntosh,"47,733"
Georgia,Macon,"39,600"
Georgia,Madison,"43,702"
Georgia,Marion,"38,321"
Georgia,Meriwether,"44,167"
Georgia,Miller,"52,357"
Georgia,Mitchell,"43,784"
Georgia,Monroe,"53,965"
Georgia,Montgomery,"38,210"
Georgia,Morgan,"58,058"
Georgia,Murray,"37,075"
Georgia,Muscogee,"48,080"
Georgia,Newton,"41,815"
Georgia,Oconee,"76,252"
Georgia,Oglethorpe,"44,545"
Georgia,Paulding,"46,884"
Georgia,Peach,"44,734"
Georgia,Pickens,"58,572"
Georgia,Pierce,"41,747"
